Korean	Romanization	Romanization(No vowel)	English (No vowel)	English	Fuzzy Score
슈퍼히어로	syu-peo-hi-eo-ro	syphr	sprhr	superhero	80
탄젠트	tan-jen-teu	tnjnt	tngnt	tangent	80
유토피아	yu-to-pi-a	ytp	tp	utopia	80
매니페스토	mae-ni-pe-seu-to	mnpst	mnfst	manifesto	80
브로맨스	beu-ro-maen-seu	brmns	brmnc	bromance	80
스테플러	seu-te-peur-reo	stprr	stplr	stapler	80
노기	no-gi	ng	ngr	anger	80
워프	weo-peu	wp	wrp	warp	80
도너	do-neo	dn	dnr	donor	80
스웨이드	seu-we-i-deu	swd	sd	suede	80
포포	po-po	pp	ppw	papaw	80
사테	sa-te	st	sty	satay	80
프로세서	peu-ro-se-seo	prss	prcssr	processor	80
스노	seu-no	sn	snw	snow	80
와트	wa-teu	wt	wtt	watt	80
사스	sa-seu	ss	srs	sars	80
미트	mi-teu	mt	mtt	mitt	80
한영우	han-yeong-u	hnyng	hn yng w	han young woo	77
이종민	i-jong-min	jngmn	l jng mn	lee jong min	77
베스트셀러	be-seu-teu-ser-reo	bstsrr	bstsllr	bestseller	77
이정훈	i-jeong-hun	jnghn	l jng hn	lee jeong hoon	77
미토콘드리아	mi-to-kon-deu-ri-a	mtkndr	mtchndr	mitochondria	77
스키점프	seu-ki-jeom-peu	skjmp	sk jmpng	ski jumping	77
나르시시즘	na-reu-si-si-jeum	nrssjm	nrcsssm	narcissism	77
헤모글로빈	he-mo-geur-ro-bin	hmgrrbn	hmglbn	hemoglobin	77
파트너	pa-teu-neo	ptn	prtnr	partner	75
치킨	ci-kin	ckn	chckn	chicken	75
샘플	saem-peur	smpr	smpl	sample	75
스토커	seu-to-keo	stk	stlkr	stalker	75
한글	han-geur	hngr	hngl	hangul	75
아메리카노	a-me-ri-ka-no	mrkn	mrcn	americano	75
패턴	pae-teon	ptn	pttrn	pattern	75
로맨스	ro-maen-seu	rmns	rmnc	romance	75
비타민	bi-ta-min	btmn	vtmn	vitamin	75
시윤	si-yun	syn	sh yn	shi yoon	75
배터리	bae-teo-ri	btr	bttry	battery	75
한복	han-bog	hnbg	hnbk	hanbok	75
설렁탕	seor-reong-tang	srrngtng	sllngtng	seolleongtang	75
금줄	geum-jur	gmjr	gmjl	geumjul	75
불고기	bur-go-gi	brgg	blgg	bulgogi	75
시멘트	si-men-teu	smnt	cmnt	cement	75
최명길	coe-myeong-gir	cmynggr	ch mynggl	choi myung-gil	75
붕대	bung-dae	bngd	bndg	bandage	75
샴푸	syam-pu	symp	shmp	shampoo	75
홈페이지	hom-pe-i-ji	hmpj	hmpg	homepage	75
핸들	haen-deur	hndr	hndl	handle	75
오영	o-yeong	yng	h yng	oh young	75
머리핀	meo-ri-pin	mrpn	hrpn	hairpin	75
쓰나미	sseu-na-mi	ssnm	tsnm	tsunami	75
싱크대	sing-keu-dae	sngkd	snk	sink	75
마작	ma-jag	mjg	mhjng	mahjong	75
호스피스	ho-seu-pi-seu	hsps	hspc	hospice	75
스위치	seu-wi-ci	swc	swtch	switch	75
소울메이트	so-ur-me-i-teu	srmt	slmt	soulmate	75
네티즌	ne-ti-jeun	ntjn	ntzn	netizen	75
업그레이드	eob-geu-re-i-deu	bgrd	pgrd	upgrade	75
트러블	teu-reo-beur	trbr	trbl	trouble	75
트로피	teu-ro-pi	trp	trphy	trophy	75
위스키	wi-seu-ki	wsk	whsky	whiskey	75
방위	bang-wi	bngw	brng	bearing	75
베란다	be-ran-da	brnd	vrnd	veranda	75
마스카라	ma-seu-ka-ra	mskr	mscr	mascara	75
캠퍼스	kaem-peo-seu	kmps	cmps	campus	75
이닝	i-ning	nng	nnngs	innings	75
김태평	gim-tae-pyeong	gmtpyng	km t pyng	kim tae pyung	75
스케치	seu-ke-ci	skc	sktch	sketch	75
식혜	sig-hye	sghy	skhy	sikhye	75
이모티콘	i-mo-ti-kon	mtkn	mtcn	emoticon	75
스크린	seu-keu-rin	skrn	scrn	screen	75
코스모스	ko-seu-mo-seu	ksms	csms	cosmos	75
마스코트	ma-seu-ko-teu	mskt	msct	mascot	75
맨홀	maen-hor	mnhr	mnhl	manhole	75
멀린	meor-rin	mrrn	mrln	merlin	75
스펀지	seu-peon-ji	spnj	spng	sponge	75
세션	se-syeon	ssyn	sssn	session	75
냅킨	naeb-kin	nbkn	npkn	napkin	75
가이드라인	ga-i-deu-ra-in	gdrn	gdln	guideline	75
주가각	ju-ga-gag	jggg	jggk	jugagak	75
하드웨어	ha-deu-we-eo	hdw	hrdwr	hardware	75
벙커	beong-keo	bngk	bnkr	bunker	75
리서치	ri-seo-ci	rsc	rsrch	research	75
하모니	ha-mo-ni	hmn	hrmny	harmony	75
인절미	in-jeor-mi	njrm	njlm	injeolmi	75
시트콤	si-teu-kom	stkm	stcm	sitcom	75
션트	syeon-teu	synt	shnt	shunt	75
헤드라인	he-deu-ra-in	hdrn	hdln	headline	75
언더웨어	eon-deo-we-eo	ndw	ndrwr	underwear	75
데드라인	de-deu-ra-in	ddrn	ddln	deadline	75
스트랩	seu-teu-raeb	strb	strp	strap	75
시트론	si-teu-ron	strn	ctrn	citron	75
골짜기	gor-jja-gi	grjjg	grg	gorge	75
스포일러	seu-po-ir-reo	sprr	splr	spoiler	75
파스텔	pa-seu-ter	pstr	pstl	pastel	75
헥타르	heg-ta-reu	hgtr	hctr	hectare	75
파라솔	pa-ra-sor	prsr	prsl	parasol	75
레모네이드	re-mo-ne-i-deu	rmnd	lmnd	lemonade	75
아나콘다	a-na-kon-da	nknd	ncnd	anaconda	75
아티초크	a-ti-co-keu	tck	rtchk	artichoke	75
행거	haeng-geo	hngg	hngr	hanger	75
던전	deon-jeon	dnjn	dngn	dungeon	75
웹캠	web-kaem	wbkm	wbcm	webcam	75
최진	coe-jin	cjn	ch jn	choi jin	75
웹진	web-jin	wbjn	wbzn	webzine	75
레몬에이드	re-mon-e-i-deu	rmnd	lmnd	lemonade	75
에메랄드	e-me-rar-deu	mrrd	mrld	emerald	75
팬덤	paen-deom	pndm	fndm	fandom	75
코미디언	ko-mi-di-eon	kmdn	cmdn	comedian	75
스패너	seu-pae-neo	spn	spnnr	spanner	75
알부민	ar-bu-min	rbmn	lbmn	albumin	75
스파이웨어	seu-pa-i-we-eo	spw	spywr	spyware	75
니코틴	ni-ko-tin	nktn	nctn	nicotine	75
트레일러	teu-re-ir-reo	trrr	trlr	trailer	75
박테리아	bag-te-ri-a	bgtr	bctr	bacteria	75
프리즘	peu-ri-jeum	prjm	prsm	prism	75
스폰지	seu-pon-ji	spnj	spng	sponge	75
김자점	gim-ja-jeom	gmjjm	km jjm	kim ja-jeom	73
런칭	reon-cing	rncng	lnchng	launching	73
싱크홀	sing-keu-hor	sngkhr	snkhl	sinkhole	73
슈퍼스타	syu-peo-seu-ta	sypst	sprstr	superstar	73
오세영	o-se-yeong	syng	h s yng	oh se young	73
하이킹	ha-i-king	hkng	hk/hkng	hike/hiking	73
블리딩	beur-ri-ding	brrdng	bldng	bleeding	73
킬로그램	kir-ro-geu-raem	krrgrm	klgrm	kilogram	73
웰빙	wer-bing	wrbng	wllbng	well-being	73
아드레날린	a-deu-re-nar-rin	drnrrn	drnln	adrenaline	73
김영	gim-yeong	gmyng	km yng	kim young	73
트라이앵글	teu-ra-i-aeng-geur	trnggr	trngl	triangle	73
메가헤르츠	me-ga-he-reu-ceu	mghrc	mghrtz	megahertz	73
카운트다운	ka-un-teu-da-un	kntdn	cntdwn	countdown	73
침팬지	cim-paen-ji	cmpnj	chmpnz	chimpanzee	73
센세이션	sen-se-i-syeon	snssyn	snstn	sensation	73
스티로폼	seu-ti-ro-pom	strpm	styrfm	styrofoam	73
덱스트린	deg-seu-teu-rin	dgstrn	dxtrn	dextrin	73
오리엔테이션	o-ri-en-te-i-syeon	rntsyn	rnttn	orientation	73
인터럽트	in-teo-reob-teu	ntrbt	ntrrpt	interrupt	73
프로펠러	peu-ro-per-reo	prprr	prpllr	propeller	73
임플란트	im-peur-ran-teu	mprrnt	mplnt	implant	73
프로폴리스	peu-ro-por-ri-seu	prprrs	prpls	propolis	73
핸드볼	haen-deu-bor	hndbr	hndbll	handball	73
프로토타입	peu-ro-to-ta-ib	prttb	prttyp	prototype	73
콘덴서	kon-den-seo	kndns	cndnsr	condenser	73
크립톤	keu-rib-ton	krbtn	kryptn	krypton	73
선탠	seon-taen	sntn	tn/sntn	tan/suntan	73
매너리즘	mae-neo-ri-jeum	mnrjm	mnnrsm	mannerism	73
스캐닝	seu-kae-ning	sknng	scnnng	scanning	73
류마티스	ryu-ma-ti-seu	rymts	rhmtsm	rheumatism	73
윙팁	wing-tib	wngtb	wng tp	wing tip	73
짬뽕	jjam-bbong	jjmbbng	jjmppng	jjamppong	71
컨설팅	keon-seor-ting	knsrtng	cnsltng	consulting	71
강태진	gang-tae-jin	gngtjn	kng t jn	kang tae jin	71
도플갱어	do-peur-gaeng-eo	dprgng	dpplgngr	doppelganger	71
다큐멘터리	da-kyu-men-teo-ri	dkymntr	dcmntry	documentary	71
컨설턴트	keon-seor-teon-teu	knsrtnt	cnsltnt	consultant	71
플랑크톤	peur-rang-keu-ton	prrngktn	plnktn	plankton	71
덤프트럭	deom-peu-teu-reog	dmptrg	dmp trck	dump truck	71
벤조디아제핀	ben-jo-di-a-je-pin	bnjdjpn	bnzdzpn	benzodiazepine	71
트렌치코트	teu-ren-ci-ko-teu	trnckt	trnch ct	trench coat	71
테라포밍	te-ra-po-ming	trpmng	trrfrmng	terraforming	71
그룹	geu-rub	grb	grp	group	67
호텔	ho-ter	htr	htl	hotel	67
보이	bo-i	b	by	boy	67
춥다	cub-da	cbd	cld	cold	67
청소	ceong-so	cngs	clnng	cleaning	67
파티	pa-ti	pt	prty	party	67
뉴스	nyu-seu	nys	nws	news	67
카메라	ka-me-ra	kmr	cmr	camera	67
인터넷	in-teo-nes	ntns	ntrnt	internet	67
모델	mo-der	mdr	mdl	model	67
싸인	ssa-in	ssn	sgn	sign	67
손가락	son-ga-rag	sngrg	fngr	finger	67
날개	nar-gae	nrg	wng	wing	67
기어	gi-eo	g	gr	gear	67
속도	sog-do	sgd	spd	speed	67
태도	tae-do	td	tttd	attitude	67
앨범	aer-beom	rbm	lbm	album	67
가가	ga-ga	gg	g, g	go, go	67
사태	sa-tae	st	sttn	situation	67
포장	po-jang	pjng	pckng	packing	67
스톱	seu-tob	stb	stp	stop	67
봉투	bong-tu	bngt	bg	bag	67
골드	gor-deu	grd	gld	gold	67
리스트	ri-seu-teu	rst	lst	list	67
바이러스	ba-i-reo-seu	brs	vrs	virus	67
이벤트	i-ben-teu	bnt	vnt	event	67
데뷔	de-bwi	dbw	dbt	debut	67
노크	no-keu	nk	knck	knock	67
크레인	keu-re-in	krn	crn	crane	67
비즈니스	bi-jeu-ni-seu	bjns	bsnss	business	67
테이블	te-i-beur	tbr	tbl	table	67
시즌	si-jeun	sjn	ssn	season	67
크림	keu-rim	krm	crm	cream	67
이익	i-ig	g	gn	gain	67
만들기	man-deur-gi	mndrg	mkng	making	67
도안	do-an	dn	dsgn	design	67
태풍	tae-pung	tpng	typhn	typhoon	67
모텔	mo-ter	mtr	mtl	motel	67
아트	a-teu	t	rt	art	67
노트	no-teu	nt	ntbk	notebook	67
캠프	kaem-peu	kmp	cmp	camp	67
안건	an-geon	ngn	gnd	agenda	67
요트	yo-teu	yt	ycht	yacht	67
메달	me-dar	mdr	mdl	medal	67
레이	re-i	r	ry	ray	67
보리	bo-ri	br	brly	barley	67
브라보	beu-ra-bo	brb	brv	bravo	67
쿠폰	ku-pon	kpn	cpn	coupon	67
차트	ca-teu	ct	chrt	chart	67
드라이브	deu-ra-i-beu	drb	drv	drive	67
보일러	bo-ir-reo	brr	blr	boiler	67
화이트	hwa-i-teu	hwt	wht	white	67
벨트	ber-teu	brt	blt	belt	67
댄스	daen-seu	dns	dnc	dance	67
타이틀	ta-i-teur	ttr	ttl	title	67
사촌	sa-con	scn	csn	cousin	67
자이언트	ja-i-eon-teu	jnt	gnt	giant	67
스텝	seu-teb	stb	stp	step	67
방치	bang-ci	bngc	nglct	neglect	67
싱글	sing-geur	snggr	sngl	single	67
로봇	ro-bos	rbs	rbt	robot	67
몽타주	mong-ta-ju	mngtj	mntg	montage	67
버터	beo-teo	bt	bttr	butter	67
김도진	gim-do-jin	gmdjn	km d jn	kim do jin	67
피어	pi-eo	p	pr	peer	67
후진	hu-jin	hjn	jnr	junior	67
에이전트	e-i-jeon-teu	jnt	gnt	agent	67
터미널	teo-mi-neor	tmnr	trmnl	terminal	67
파파라치	pa-pa-ra-ci	pprc	pprzz	paparazzi	67
카리스마	ka-ri-seu-ma	krsm	chrsm	charisma	67
타이어	ta-i-eo	t	tr	tire	67
오렌지	o-ren-ji	rnj	rng	orange	67
기원	gi-weon	gwn	rgn	origin	67
치타	ci-ta	ct	chth	cheetah	67
좀비	jom-bi	jmb	zmb	zombie	67
레시피	re-si-pi	rsp	rcp	recipe	67
온라인	on-ra-in	nrn	nln	online	67
봉지	bong-ji	bngj	bg	bag	67
컨테이너	keon-te-i-neo	kntn	cntnr	container	67
대니	dae-ni	dn	dnny	danny	67
파서	pa-seo	ps	prsr	parser	67
패치	pae-ci	pc	ptch	patch	67
레몬	re-mon	rmn	lmn	lemon	67
오므라이스	o-meu-ra-i-seu	mrs	mrc	omurice	67
부티크	bu-ti-keu	btk	btq	boutique	67
알람	ar-ram	rrm	lrm	alarm	67
피치	pi-ci	pc	ptch	pitch	67
투어	tu-eo	t	tr	tour	67
파우더	pa-u-deo	pd	pwdr	powder	67
해치	hae-ci	hc	htch	hatch	67
천장	ceon-jang	cnjng	clng	ceiling	67
서빙	seo-bing	sbng	srvng	serving	67
실크	sir-keu	srk	slk	silk	67
시리즈	si-ri-jeu	srj	srs	series	67
리셋	ri-ses	rss	rst	reset	67
매직	mae-jig	mjg	mgc	magic	67
해커	hae-keo	hk	hckr	hacker	67
더블	deo-beur	dbr	dbl	double	67
신참	sin-cam	sncm	nwcmr	newcomer	67
패널	pae-neor	pnr	pnl	panel	67
도어	do-eo	d	dr	door	67
그레이스	geu-re-i-seu	grs	grc	grace	67
치졸	ci-jor	cjr	crd	crude	67
스캔	seu-kaen	skn	scn	scan	67
소시지	so-si-ji	ssj	ssg	sausage	67
슬럼프	seur-reom-peu	srrmp	slmp	slump	67
하키	ha-ki	hk	hcky	hockey	67
닉네임	nig-ne-im	ngnm	ncknm	nickname	67
그래픽	geu-rae-pig	grpg	grphc	graphic	67
레인지	re-in-ji	rnj	rng	range	67
밀크	mir-keu	mrk	mlk	milk	67
허기	heo-gi	hg	hngr	hunger	67
블라인드	beur-ra-in-deu	brrnd	blnd	blind	67
정글	jeong-geur	jnggr	jngl	jungle	67
와일드	wa-ir-deu	wrd	wld	wild	67
터키	teo-ki	tk	trky	turkey	67
골키퍼	gor-ki-peo	grkp	glkpr	goalkeeper	67
핫도그	has-do-geu	hsdg	ht dg	hot dog	67
다운로드	da-un-ro-deu	dnrd	dwnld	download	67
스트레칭	seu-teu-re-cing	strcng	strtch	stretch	67
미란	mi-ran	mrn	rsn	erosion	67
포지션	po-ji-syeon	pjsyn	pstn	position	67
업데이트	eob-de-i-teu	bdt	pdt	update	67
로열티	ro-yeor-ti	ryrt	rylty	royalty	67
김충	gim-cung	gmcng	km chng	kim choong	67
노코멘트	no-ko-men-teu	nkmnt	n cmmnt	no comment	67
체스	ce-seu	cs	chss	chess	67
비너스	bi-neo-seu	bns	vns	venus	67
플랜트	peur-raen-teu	prrnt	plnt	plant	67
티슈	ti-syu	tsy	tss	tissue	67
프레임	peu-re-im	prm	frm	frame	67
베이컨	be-i-keon	bkn	bcn	bacon	67
딜러	dir-reo	drr	dlr	dealer	67
천정	ceon-jeong	cnjng	clng	ceiling	67
엔진	en-jin	njn	ngn	engine	67
카운트	ka-un-teu	knt	cnt	count	67
스포트라이트	seu-po-teu-ra-i-teu	sptrt	sptlght	spotlight	67
버거	beo-geo	bg	brgr	burger	67
펄스	peor-seu	prs	pls	pulse	67
톨게이트	tor-ge-i-teu	trgt	tllgt	tollgate	67
스튜	seu-tyu	sty	stw	stew	67
울트라	ur-teu-ra	rtr	ltr	ultra	67
램프	raem-peu	rmp	lmp	lamp	67
음메	eum-me	mm	m	moo	67
야쿠자	ya-ku-ja	ykj	ykz	yakuza	67
오재원	o-jae-weon	jwn	h j wn	oh jae won	67
웨어	we-eo	w	wr	ware	67
캐스트	kae-seu-teu	kst	cst	cast	67
트랩	teu-raeb	trb	trp	trap	67
애니메이션	ae-ni-me-i-syeon	nmsyn	nmtn	animation	67
베이글	be-i-geur	bgr	bgl	bagel	67
사파리	sa-pa-ri	spr	sfr	safari	67
센트	sen-teu	snt	cnt	cent	67
레어	re-eo	r	rr	rare	67
한이수	han-i-su	hns	hn y s	han yi soo	67
패닉	pae-nig	png	pnc	panic	67
카테고리	ka-te-go-ri	ktgr	ctgry	category	67
산행	san-haeng	snhng	hkng	hiking	67
펜대	pen-dae	pnd	pnhldr	penholder	67
페달	pe-dar	pdr	pdl	pedal	67
풍채	pung-cae	pngc	prsnc	presence	67
치어리더	ci-eo-ri-deo	crd	chrldr	cheerleader	67
미트볼	mi-teu-bor	mtbr	mtbll	meatball	67
아스팔트	a-seu-par-teu	sprt	sphlt	asphalt	67
트랙터	teu-raeg-teo	trgt	trctr	tractor	67
캠페인	kaem-pe-in	kmpn	cmpgn	campaign	67
항원	hang-weon	hngwn	ntgn	antigen	67
더덕	deo-deog	ddg	ddk	deodeok	67
슈퍼모델	syu-peo-mo-der	sypmdr	sprmdl	supermodel	67
파인애플	pa-in-ae-peur	pnpr	pnppl	pineapple	67
루푸스	ru-pu-seu	rps	lps	lupus	67
스케이트장	seu-ke-i-teu-jang	sktjng	sktng rnk	skating rink	67
스튜어디스	seu-tyu-eo-di-seu	styds	stwrdss	stewardess	67
리얄	ri-yar	ryr	ryl/rl	riyal/rial	67
테이크아웃	te-i-keu-a-us	tks	tkt	takeout	67
분재	bun-jae	bnj	bns	bonsai	67
디스켓	di-seu-kes	dsks	dsktt	diskette	67
탈춤	tar-cum	trcm	tlchm	talchum	67
반등	ban-deung	bndng	rbnd	rebound	67
스냅	seu-naeb	snb	snp	snap	67
성악가	seong-ag-ga	snggg	sngr	singer	67
서포터	seo-po-teo	spt	spprtr	supporter	67
수창	su-cang	scng	dscnt	descant	67
저널리스트	jeo-neor-ri-seu-teu	jnrrst	jrnlst	journalist	67
페니	pe-ni	pn	pnny	penny	67
대각선	dae-gag-seon	dggsn	dgnl	diagonal	67
가라오케	ga-ra-o-ke	grk	krk	karaoke	67
복싱	bog-sing	bgsng	bxng	boxing	67
파라오	pa-ra-o	pr	phrh	pharaoh	67
컨트리	keon-teu-ri	kntr	cntry	country	67
진즈	jin-jeu	jnj	jns	jeans	67
디스코	di-seu-ko	dsk	dsc	disco	67
베이지색	be-i-ji-saeg	bjsg	bg	beige	67
폴리에스테르	por-ri-e-seu-te-reu	prrstr	plystr	polyester	67
멤버십	mem-beo-sib	mmbsb	mmbrshp	membership	67
소프트웨어	so-peu-teu-we-eo	sptw	sftwr	software	67
드리블	deu-ri-beur	drbr	drbbl	dribble	67
드롭	deu-rob	drb	drp	drop	67
포터블	po-teo-beur	ptbr	prtbl	portable	67
이순	i-sun	sn	l sn	lee soon	67
스톨	seu-tor	str	stl	stole	67
노블	no-beur	nbr	nbl	noble	67
하모니카	ha-mo-ni-ka	hmnk	hrmnc	harmonica	67
어란	eo-ran	rn	r	roe	67
코사인	ko-sa-in	ksn	csn	cosine	67
모히토	mo-hi-to	mht	mjt	mojito	67
튜터	tyu-teo	tyt	ttr	tutor	67
온돌	on-dor	ndr	ndl	ondol	67
게릴라	ge-rir-ra	grrr	grrll	guerrilla	67
크레용	keu-re-yong	kryng	cryn	crayon	67
바로크	ba-ro-keu	brk	brq	baroque	67
마요네즈	ma-yo-ne-jeu	mynj	mynns	mayonnaise	67
덕트	deog-teu	dgt	dct	duct	67
스토브	seu-to-beu	stb	stv	stove	67
에릭남	e-rig-nam	rgnm	rc nm	eric nam	67
파샤	pa-sya	psy	psh	pasha	67
토치	to-ci	tc	trch	torch	67
스타카토	seu-ta-ka-to	stkt	stcct	staccato	67
허리케인	heo-ri-ke-in	hrkn	hrrcn	hurricane	67
음매	eum-mae	mm	m	moo	67
렌스	ren-seu	rns	lns	lens	67
펄프	peor-peu	prp	plp	pulp	67
타월	ta-weor	twr	twl	towel	67
들개	deur-gae	drg	dng	dingo	67
매트릭스	mae-teu-rig-seu	mtrgs	mtrx	matrix	67
동글	dong-geur	dnggr	dngl	dongle	67
일개미	ir-gae-mi	rgm	rgt	ergate	67
샤머니즘	sya-meo-ni-jeum	symnjm	shmnsm	shamanism	67
분지	bun-ji	bnj	bsn	basin	67
방랑	bang-rang	bngrng	wndrng	wandering	67
백로	baeg-ro	bgr	grt	egret	67
리트리버	ri-teu-ri-beo	rtrb	rtrvr	retriever	67
게이샤	ge-i-sya	gsy	gsh	geisha	67
크랭크	keu-raeng-keu	krngk	crnk	crank	67
보드카	bo-deu-ka	bdk	vdk	vodka	67
베레모	be-re-mo	brm	brt	beret	67
오트밀	o-teu-mir	tmr	tml	oatmeal	67
쇼룸	syo-rum	syrm	shwrm	showroom	67
비엔날레	bi-en-nar-re	bnnrr	bnnl	biennale	67
훌리건	hur-ri-geon	hrrgn	hlgn	hooligan	67
코만도	ko-man-do	kmnd	cmmnd	commando	67
서럽다	seo-reob-da	srbd	sd	sad	67
속어	sog-eo	sg	slng	slang	67
코브라	ko-beu-ra	kbr	cbr	cobra	67
페이스메이커	pe-i-seu-me-i-keo	psmk	pcmkr	pacemaker	67
메론	me-ron	mrn	mln	melon	67
비디오테이프	bi-di-o-te-i-peu	bdtp	tp	tape	67
바터	ba-teo	bt	brtr	barter	67
러미	reo-mi	rm	rmmy	rummy	67
아세톤	a-se-ton	stn	ctn	acetone	67
불독	bur-dog	brdg	blldg	bulldog	67
퍼터	peo-teo	pt	pttr	putter	67
케치	ke-ci	kc	ktch	ketch	67
그랜저	geu-raen-jeo	grnj	grndr	grandeur	67
아틀리에	a-teur-ri-e	trr	tlr	atelier	67
크레이프	keu-re-i-peu	krp	crp	crepe	67
시냅스	si-naeb-seu	snbs	synps	synapse	67
남포	nam-po	nmp	lmp	lamp	67
샤부샤부	sya-bu-sya-bu	sybsyb	shbshb	shabu-shabu	67
로브스터	ro-beu-seu-teo	rbst	lbstr	lobster	67
잠보	jam-bo	jmb	zmb	zambo	67
목련	mog-ryeon	mgryn	mgnl	magnolia	67
마들렌	ma-deur-ren	mdrrn	mdln	madeleine	67
트레몰로	teu-re-mor-ro	trmrr	trml	tremolo	67
코로나	ko-ro-na	krn	crn	corona	67
에스카르고	e-seu-ka-reu-go	skrg	scrgt	escargot	67
랍스타	rab-seu-ta	rbst	lbstr	lobster	67
카스트	ka-seu-teu	kst	cst	caste	67
김민	gim-min	gmmn	km mn	kim min	67
코데인	ko-de-in	kdn	cdn	codeine	67
가솔린	ga-sor-rin	gsrrn	gsln	gasoline	67
터미날	teo-mi-nar	tmnr	trmnl	terminal	67
배너	bae-neo	bn	bnnr	banner	67
세터	se-teo	st	sttr	setter	67
워리어	weo-ri-eo	wr	wrrr	warrior	67
에나멜	e-na-mer	nmr	nml	enamel	67
스크램블	seu-keu-raem-beur	skrmbr	scrmbl	scramble	67
비글	bi-geur	bgr	bgl	beagle	67
찰상	car-sang	crsng	brsn	abrasion	67
엑스터시	eg-seu-teo-si	gsts	cstsy	ecstasy	67
슬로건	seur-ro-geon	srrgn	slgn	slogan	67
슬링	seur-ring	srrng	slng	sling	67
라이브러리	ra-i-beu-reo-ri	rbrr	lbrry	library	67
도넛	do-neos	dns	dnt	donut	67
포니테일	po-ni-te-ir	pntr	pnytl	ponytail	67
멜라닌	mer-ra-nin	mrrnn	mlnn	melanin	67
메탄올	me-tan-or	mtnr	mthnl	methanol	67
프로락틴	peu-ro-rag-tin	prrgtn	prlctn	prolactin	67
카르파치오	ka-reu-pa-ci-o	krpc	crpcc	carpaccio	67
해머	hae-meo	hm	hmmr	hammer	67
카티온	ka-ti-on	ktn	ctn	cation	67
기가바이트	gi-ga-ba-i-teu	ggbt	ggbyt/GB	gigabyte/GB	67
파라핀	pa-ra-pin	prpn	prffn	paraffin	67
부팅	bu-ting	btng	bt	boot	67
아방가르드	a-bang-ga-reu-deu	bnggrd	vntgrd	avant-garde	67
스풀	seu-pur	spr	spl	spool	67
크루통	keu-ru-tong	krtng	crtn	crouton	67
알데히드	ar-de-hi-deu	rdhd	ldhyd	aldehyde	67
무슬림	mu-seur-rim	msrrm	mslm	muslim	67
신혼여행	sin-hon-yeo-haeng	snhnyhng	hnymn	honeymoon	62
선글라스	seon-geur-ra-seu	sngrrs	snglsss	sunglasses	62
홈런	hom-reon	hmrn	hm rn/Hmr	home run/Homer	62
생리대	saeng-ri-dae	sngrd	sntry pd	sanitary pad	62
레슬링	re-seur-ring	rsrrng	wrstlng	wrestling	62
물탱크	mur-taeng-keu	mrtngk	wtr tnk	water tank	62
나이팅게일	na-i-ting-ge-ir	ntnggr	nghtngl	nightingale	62
슈퍼마켓	syu-peo-ma-kes	sypmks	sprmrkt	supermarket	62
콤비네이션	kom-bi-ne-i-syeon	kmbnsyn	cmbntn	combination	62
할로페리돌	har-ro-pe-ri-dor	hrrprdr	hlprdl	haloperidol	62
폴리그래프	por-ri-geu-rae-peu	prrgrp	plygrph	polygraph	62
이강돈	i-gang-don	gngdn	l kng dn	lee kang don	62
컴퓨터	keom-pyu-teo	kmpyt	cmptr	computer	60
파이팅	pa-i-ting	ptng	fghtng	fighting	60
스캔들	seu-kaen-deur	skndr	scndl	scandal	60
수술실	su-sur-sir	ssrsr	srgry	surgery	60
프로듀서	peu-ro-dyu-seo	prdys	prdcr	producer	60
팬티	paen-ti	pnt	ndrpnts	underpants	60
진철	jin-ceor	jncr	jn chl	jin chul	60
컨트롤	keon-teu-ror	kntrr	cntrl	control	60
청산	ceong-san	cngsn	clrng	clearing	60
오케스트라	o-ke-seu-teu-ra	kstr	rchstr	orchestra	60
순서대로	sun-seo-dae-ro	snsdr	n rdr	in order	60
메신저	me-sin-jeo	msnj	mssngr	messenger	60
콘텐츠	kon-ten-ceu	kntnc	cntnt	content	60
인큐베이터	in-kyu-be-i-teo	nkybt	ncbtr	incubator	60
인슐린	in-syur-rin	nsyrrn	nsln	insulin	60
스크립트	seu-keu-rib-teu	skrbt	scrpt	script	60
선적	seon-jeog	snjg	shppng	shipping	60
갈망	gar-mang	grmng	crvng	craving	60
프로토콜	peu-ro-to-kor	prtkr	prtcl	protocol	60
헤어스타일	he-eo-seu-ta-ir	hstr	hrstyl	hairstyle	60
디스크	di-seu-keu	dsk	dsc/dsk	disc/disk	60
콘크리트	kon-keu-ri-teu	knkrt	cncrt	concrete	60
카푸치노	ka-pu-ci-no	kpcn	cppccn	cappuccino	60
이발소	i-bar-so	brs	brbrshp	barbershop	60
생강	saeng-gang	snggng	gngr	ginger	60
프로포폴	peu-ro-po-por	prppr	prpfl	propofol	60
롤링	ror-ring	rrrng	rllng	rolling	60
마네킹	ma-ne-king	mnkng	mnnqn	mannequin	60
발레리노	bar-re-ri-no	brrrn	bllrn	ballerino	60
탱탱	taeng-taeng	tngtng	tght	tight	60
유망	yu-mang	ymng	prmsng	promising	60
로비스트	ro-bi-seu-teu	rbst	lbbyst	lobbyist	60
프로파일러	peu-ro-pa-ir-reo	prprr	prflr	profiler	60
로라제팜	ro-ra-je-pam	rrjpm	lrzpm	lorazepam	60
킬로미터	kir-ro-mi-teo	krrmt	klmtr	kilometer	60
액세서리	aeg-se-seo-ri	gssr	ccssry	accessory	60
정력	jeong-ryeog	jngryg	nrgy	energy	60
